"HCQ170.Code.or.Value","HCQ170.Value.Description","HCQ170.Count","HCQ170.Cumulative","HCQ170.Skip.to.Item"
"1","True",26,26,NA
"2","False",0,26,NA
"7","Refused",0,26,NA
"9","Don't know",5,31,NA
".","Missing",62,93,NA
