"AUXRR161.Code.or.Value","AUXRR161.Value.Description","AUXRR161.Count","AUXRR161.Cumulative","AUXRR161.Skip.to.Item"
"-17 to 67","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
