"WTSHM22.Code.or.Value","WTSHM22.Value.Description","WTSHM22.Count","WTSHM22.Cumulative","WTSHM22.Skip.to.Item"
"0.0000000 to 724217.9075700","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
