"PAXORENT.Code.or.Value","PAXORENT.Value.Description","PAXORENT.Count","PAXORENT.Cumulative","PAXORENT.Skip.to.Item"
"1","Dorsal",7701,7701,NA
"2","Palmar",74,7775,NA
"< blank >","Missing",1138,8913,NA
