"WHQ060.Code.or.Value","WHQ060.Value.Description","WHQ060.Count","WHQ060.Cumulative","WHQ060.Skip.to.Item"
"1","Yes",778,778,"WHD080A"
"2","No",495,1273,""
"7","Refused",0,1273,""
"9","Don't know",0,1273,""
".","Missing",4888,6161,""
