"RXQ355.Code.or.Value","RXQ355.Value.Description","RXQ355.Count","RXQ355.Cumulative","RXQ355.Skip.to.Item"
"1","Container seen",728,728,""
"2","Container not seen",196,924,"End of Section"
".","Missing",4319,5243,""
