"DID341.Code.or.Value","DID341.Value.Description","DID341.Count","DID341.Cumulative","DID341.Skip.to.Item"
"1 to 106","Range of Values",631,631,NA
"0","None",244,875,NA
"7777","Refused",0,875,NA
"9999","Don't know/not sure",7,882,NA
".","Missing",8015,8897,NA
