"WTSCI25.Code.or.Value","WTSCI25.Value.Description","WTSCI25.Count","WTSCI25.Cumulative","WTSCI25.Skip.to.Item"
"0 to 449791.62186","Range of Values",727,727,NA
".","Missing",51,778,NA
