"OPDSPHVH.Code.or.Value","OPDSPHVH.Value.Description","OPDSPHVH.Count","OPDSPHVH.Cumulative","OPDSPHVH.Skip.to.Item"
"0","None",3196,3196,NA
"1","Questionable",1,3197,NA
"2","< 1 Disc Area",0,3197,NA
"3",">= 1 Disc Area",0,3197,NA
".","Missing",666,3863,NA
