"WTSHM19.Code.or.Value","WTSHM19.Value.Description","WTSHM19.Count","WTSHM19.Cumulative","WTSHM19.Skip.to.Item"
"0.0000000 to 767395.1659400","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
