"LBXGLUSI.Code.or.Value","LBXGLUSI.Value.Description","LBXGLUSI.Count","LBXGLUSI.Cumulative","LBXGLUSI.Skip.to.Item"
"2.133 to 38.122","Range of Values",3441,3441,NA
".","Missing",225,3666,NA
