"SSHE4I.Code.or.Value","SSHE4I.Value.Description","SSHE4I.Count","SSHE4I.Cumulative","SSHE4I.Skip.to.Item"
"0.173 to 210.171","Range of Values",2388,2388,NA
".","Missing",0,2388,NA
