"AUXRR138.Code.or.Value","AUXRR138.Value.Description","AUXRR138.Count","AUXRR138.Cumulative","AUXRR138.Skip.to.Item"
"-36 to 56","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
