"WTMREP36.Code.or.Value","WTMREP36.Value.Description","WTMREP36.Count","WTMREP36.Cumulative","WTMREP36.Skip.to.Item"
"0 to 261427.09527","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
