"DEX2PSPM.Code.or.Value","DEX2PSPM.Value.Description","DEX2PSPM.Count","DEX2PSPM.Cumulative","DEX2PSPM.Skip.to.Item"
"1","Present",4,4,NA
".","Missing",2988,2992,NA
