"WTSBA32.Code.or.Value","WTSBA32.Value.Description","WTSBA32.Count","WTSBA32.Cumulative","WTSBA32.Skip.to.Item"
"0 to 369254.9675","Range of Values",946,946,NA
".","Missing",65,1011,NA
