"MCQ260DF.Code.or.Value","MCQ260DF.Value.Description","MCQ260DF.Count","MCQ260DF.Cumulative","MCQ260DF.Skip.to.Item"
"6","Father's father",79,79,"MCQ250E"
".","Missing",9414,9493,""
