"MCQ260DH.Code.or.Value","MCQ260DH.Value.Description","MCQ260DH.Count","MCQ260DH.Cumulative","MCQ260DH.Skip.to.Item"
"8","Sister",305,305,"MCQ250E"
".","Missing",9188,9493,""
