"CIQP40.Code.or.Value","CIQP40.Value.Description","CIQP40.Count","CIQP40.Cumulative","CIQP40.Skip.to.Item"
"0 to 5","Range of Values",24,24,NA
"900","900 +",0,24,NA
"7777","Refused",0,24,NA
"9999","Don't know",0,24,NA
".","Missing",826,850,NA
