"HOQ230.Code.or.Value","HOQ230.Value.Description","HOQ230.Count","HOQ230.Cumulative","HOQ230.Skip.to.Item"
"1","Yes",1725,1725,NA
"2","No",8490,10215,NA
"7","Refused",0,10215,NA
"9","Don't know",24,10239,NA
".","Missing",109,10348,NA
