"DXDTOPF.Code.or.Value","DXDTOPF.Value.Description","DXDTOPF.Count","DXDTOPF.Cumulative","DXDTOPF.Skip.to.Item"
"12.1 to 56.1","Range of Values",3658,3658,NA
".","Missing",1456,5114,NA
