"RFXT052.Code.or.Value","RFXT052.Value.Description","RFXT052.Count","RFXT052.Cumulative","RFXT052.Skip.to.Item"
"442 to 451","Range of Values",33702,33702,NA
".","Missing",19,33721,NA
