"LBCTC2.Code.or.Value","LBCTC2.Value.Description","LBCTC2.Count","LBCTC2.Cumulative","LBCTC2.Skip.to.Item"
"4.455 to 35.87","Range of Values",295,295,NA
".","Missing",6,301,NA
