"AUDTYR30.Code.or.Value","AUDTYR30.Value.Description","AUDTYR30.Count","AUDTYR30.Cumulative","AUDTYR30.Skip.to.Item"
"0 to 2.16","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
