"TYXA146.Code.or.Value","TYXA146.Value.Description","TYXA146.Count","TYXA146.Cumulative","TYXA146.Skip.to.Item"
"0.09 to 6.443","Range of Values",3432,3432,NA
".","Missing",2153,5585,NA
