"CIQGPD.Code.or.Value","CIQGPD.Value.Description","CIQGPD.Count","CIQGPD.Cumulative","CIQGPD.Skip.to.Item"
"1","Yes",3,3,"CIQGPN"
"2","No",16,19,""
"7","Refused",0,19,""
"9","Don't know",0,19,""
".","Missing",831,850,""
