"TYXP016.Code.or.Value","TYXP016.Value.Description","TYXP016.Count","TYXP016.Cumulative","TYXP016.Skip.to.Item"
"62 to 189","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
