"DR2IP226.Code.or.Value","DR2IP226.Value.Description","DR2IP226.Count","DR2IP226.Cumulative","DR2IP226.Skip.to.Item"
"0 to 6.905","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
