"ORXH40.Code.or.Value","ORXH40.Value.Description","ORXH40.Count","ORXH40.Cumulative","ORXH40.Skip.to.Item"
"1","Positive",0,0,NA
"2","Negative",4546,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
