"LBDARYSI.Code.or.Value","LBDARYSI.Value.Description","LBDARYSI.Count","LBDARYSI.Cumulative","LBDARYSI.Skip.to.Item"
"0.002 to 0.615","Range of Values",6482,6482,NA
".","Missing",953,7435,NA
