"LBXPEN.Code.or.Value","LBXPEN.Value.Description","LBXPEN.Count","LBXPEN.Cumulative","LBXPEN.Skip.to.Item"
"2.64 to 150","Range of Values",4401,4401,NA
".","Missing",1242,5643,NA
