"LBDVID.Code.or.Value","LBDVID.Value.Description","LBDVID.Count","LBDVID.Cumulative","LBDVID.Skip.to.Item"
"3 to 72","Range of Values",8298,8298,NA
".","Missing",881,9179,NA
