"ARXXDIST.Code.or.Value","ARXXDIST.Value.Description","ARXXDIST.Count","ARXXDIST.Cumulative","ARXXDIST.Skip.to.Item"
"0 to 7.3","Range of Values",4615,4615,NA
".","Missing",386,5001,NA
