"MSDPFANG.Code.or.Value","MSDPFANG.Value.Description","MSDPFANG.Count","MSDPFANG.Cumulative","MSDPFANG.Skip.to.Item"
"89.5 to 151","Range of Values",1542,1542,NA
".","Missing",751,2293,NA
