"URXTRP2.Code.or.Value","URXTRP2.Value.Description","URXTRP2.Count","URXTRP2.Cumulative","URXTRP2.Skip.to.Item"
"0.45 to 6.06","Range of Values",2452,2452,NA
".","Missing",153,2605,NA
