"SLD012.Code.or.Value","SLD012.Value.Description","SLD012.Count","SLD012.Cumulative","SLD012.Skip.to.Item"
"3 to 13.5","Range of Values",6073,6073,NA
"2","Less then 3 hours",27,6100,NA
"14","14 hours or more",13,6113,NA
".","Missing",48,6161,NA
