"DXXPT71Y.Code.or.Value","DXXPT71Y.Value.Description","DXXPT71Y.Count","DXXPT71Y.Cumulative","DXXPT71Y.Skip.to.Item"
"147.1 to 368.1","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
