"SLD013.Code.or.Value","SLD013.Value.Description","SLD013.Count","SLD013.Cumulative","SLD013.Skip.to.Item"
"3 to 13.5","Range of Values",6061,6061,NA
"2","Less then 3 hours",12,6073,NA
"14","14 hours or more",31,6104,NA
".","Missing",57,6161,NA
