"CBD637.Code.or.Value","CBD637.Value.Description","CBD637.Count","CBD637.Cumulative","CBD637.Skip.to.Item"
"0 to 100","Range of Values",3184,3184,NA
"77777777","Refused",0,3184,NA
"99999999","Don't know",664,3848,NA
".","Missing",2551,6399,NA
