"FSQ500.Code.or.Value","FSQ500.Value.Description","FSQ500.Count","FSQ500.Cumulative","FSQ500.Skip.to.Item"
"1","Yes",24,24,""
"2","No",892,916,"FSQ520"
"7","Refused",0,916,"FSQ520"
"9","Don't know",3,919,"FSQ520"
".","Missing",9203,10122,""
