"DXDSTBMC.Code.or.Value","DXDSTBMC.Value.Description","DXDSTBMC.Count","DXDSTBMC.Cumulative","DXDSTBMC.Skip.to.Item"
"433.64 to 3870.67","Range of Values",3569,3569,NA
".","Missing",1545,5114,NA
