"LEAANKL.Code.or.Value","LEAANKL.Value.Description","LEAANKL.Count","LEAANKL.Cumulative","LEAANKL.Skip.to.Item"
"1","Right",8,8,NA
"2","Left",6,14,NA
"3","Both",2760,2774,NA
"8","Could not obtain",4,2778,NA
".","Missing",308,3086,NA
