"RFXT051.Code.or.Value","RFXT051.Value.Description","RFXT051.Count","RFXT051.Cumulative","RFXT051.Skip.to.Item"
"433 to 442","Range of Values",33702,33702,NA
".","Missing",19,33721,NA
