"HEQ040.Code.or.Value","HEQ040.Value.Description","HEQ040.Count","HEQ040.Cumulative","HEQ040.Skip.to.Item"
"1","Yes",46,46,NA
"2","No",48,94,NA
"7","Refused",1,95,NA
"9","Don't know",4,99,NA
".","Missing",7779,7878,NA
