"RFXT044.Code.or.Value","RFXT044.Value.Description","RFXT044.Count","RFXT044.Cumulative","RFXT044.Skip.to.Item"
"371 to 380","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
