"MPQ120A.Code.or.Value","MPQ120A.Value.Description","MPQ120A.Count","MPQ120A.Cumulative","MPQ120A.Skip.to.Item"
"10","Head",276,276,NA
"77","Refused",0,276,NA
"99","Don't know",1,277,NA
".","Missing",4764,5041,NA
