"DUQ310Q.Code.or.Value","DUQ310Q.Value.Description","DUQ310Q.Count","DUQ310Q.Cumulative","DUQ310Q.Skip.to.Item"
"1 to 60","Range of Values",79,79,NA
"7777","Refused",0,79,NA
"9999","Don't know",0,79,NA
".","Missing",4493,4572,NA
