"AUXRR174.Code.or.Value","AUXRR174.Value.Description","AUXRR174.Count","AUXRR174.Cumulative","AUXRR174.Skip.to.Item"
"-24 to 114","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
