"CIQP13M.Code.or.Value","CIQP13M.Value.Description","CIQP13M.Count","CIQP13M.Cumulative","CIQP13M.Skip.to.Item"
"1","Yes",39,39,NA
"2","No",69,108,NA
"7","Refused",0,108,NA
"9","Don't know",0,108,NA
".","Missing",742,850,NA
