"WTSPH11.Code.or.Value","WTSPH11.Value.Description","WTSPH11.Count","WTSPH11.Cumulative","WTSPH11.Skip.to.Item"
"0 to 784645.39885","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
