"TYXP046.Code.or.Value","TYXP046.Value.Description","TYXP046.Count","TYXP046.Cumulative","TYXP046.Skip.to.Item"
"-57 to 197","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
