"DBD020.Code.or.Value","DBD020.Value.Description","DBD020.Count","DBD020.Cumulative","DBD020.Skip.to.Item"
"1 to 730","Range of Values",1246,1246,""
"0","Never",38,1284,"DBD085"
"777777","Refused",0,1284,"DBD085"
"999999","Don't know",2,1286,"DBD085"
".","Missing",8863,10149,""
