"MPQ120C.Code.or.Value","MPQ120C.Value.Description","MPQ120C.Count","MPQ120C.Cumulative","MPQ120C.Skip.to.Item"
"12","Shoulder girdle - right",237,237,NA
".","Missing",4804,5041,NA
