"AUXU6KR.Code.or.Value","AUXU6KR.Value.Description","AUXU6KR.Count","AUXU6KR.Cumulative","AUXU6KR.Skip.to.Item"
"-10 to 100","Range of Values",2539,2539,NA
"666","No response",50,2589,NA
"888","Could not obtain",283,2872,NA
".","Missing",259,3131,NA
