"RFXT157.Code.or.Value","RFXT157.Value.Description","RFXT157.Count","RFXT157.Cumulative","RFXT157.Skip.to.Item"
"1371 to 1380","Range of Values",33668,33668,NA
".","Missing",53,33721,NA
