"LB2CBC.Code.or.Value","LB2CBC.Value.Description","LB2CBC.Count","LB2CBC.Cumulative","LB2CBC.Skip.to.Item"
"0.49 to 6.9","Range of Values",545,545,NA
".","Missing",6,551,NA
