"LB2SNASI.Code.or.Value","LB2SNASI.Value.Description","LB2SNASI.Count","LB2SNASI.Cumulative","LB2SNASI.Skip.to.Item"
"130 to 145","Range of Values",544,544,NA
".","Missing",2,546,NA
