"URXMX7.Code.or.Value","URXMX7.Value.Description","URXMX7.Count","URXMX7.Cumulative","URXMX7.Skip.to.Item"
"0.002 to 163","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
