"LB2GTC.Code.or.Value","LB2GTC.Value.Description","LB2GTC.Count","LB2GTC.Cumulative","LB2GTC.Skip.to.Item"
"7.6 to 993","Range of Values",543,543,NA
".","Missing",8,551,NA
