"TYXP175.Code.or.Value","TYXP175.Value.Description","TYXP175.Count","TYXP175.Cumulative","TYXP175.Skip.to.Item"
"-299 to 165","Range of Values",1350,1350,NA
".","Missing",4235,5585,NA
