"OPDSHEM.Code.or.Value","OPDSHEM.Value.Description","OPDSHEM.Count","OPDSHEM.Cumulative","OPDSHEM.Skip.to.Item"
"0","No",2882,2882,NA
"1","Yes",55,2937,NA
".","Missing",926,3863,NA
