"PAD675.Code.or.Value","PAD675.Value.Description","PAD675.Count","PAD675.Cumulative","PAD675.Skip.to.Item"
"10 to 540","Range of Values",2300,2300,NA
"7777","Refused",0,2300,NA
"9999","Don't know",1,2301,NA
".","Missing",3555,5856,NA
