"BPXSY3.Code.or.Value","BPXSY3.Value.Description","BPXSY3.Count","BPXSY3.Cumulative","BPXSY3.Skip.to.Item"
"72 to 238","Range of Values",6538,6538,NA
".","Missing",2166,8704,NA
