"OHQ585Q.Code.or.Value","OHQ585Q.Value.Description","OHQ585Q.Count","OHQ585Q.Cumulative","OHQ585Q.Skip.to.Item"
"1 to 40","Range of Values",117,117,""
"7777","Refused",0,117,"OHQ592"
"9999","Don't know",6,123,"OHQ592"
".","Missing",9647,9770,""
